0, 0.0013
0.01, 0.0053
0.02, 0.0064
0.03, 0.3238
0.04, 0.6487
0.05, 0.9733
0.06, 0.9925
0.07, 1.0018
0.08, 1.0179
0.09, 1.0258
0.1, 1.0416
0.11, 1.0523
0.12, 1.0688
0.13, 1.078
0.14, 1.0946
0.15, 1.1069
0.16, 1.1242
0.17, 1.1348
0.18, 1.1523
0.19, 1.1647
0.2, 1.1819
0.21, 1.1911
0.22, 1.2083
0.23, 1.22
0.24, 1.2375
0.25, 1.2472
0.26, 1.264
0.27, 1.2755
0.28, 1.2924
0.29, 1.3024
0.3, 1.3208
0.31, 1.3337
0.32, 1.3524
0.33, 1.3622
0.34, 1.3798
0.35000000000000003, 1.3915
0.36, 1.4092
0.37, 1.419
0.38, 1.4366
0.39, 1.4489
0.4, 1.4669
0.41000000000000003, 1.4772
0.42, 1.4943
0.43, 1.5064
0.44, 1.5247
0.45, 1.5355
0.46, 1.5542
0.47000000000000003, 1.5668
0.48, 1.5856
0.49, 1.5956
0.5, 1.6136
0.51, 1.6257
0.52, 1.6436
0.53, 1.6534
0.54, 1.671
0.55, 1.6832
0.56, 1.701
0.5700000000000001, 1.7114
0.58, 1.7298
0.59, 1.7426
0.6, 1.7613
0.61, 1.7716
0.62, 1.7909
0.63, 1.8041
0.64, 1.8239
0.65, 1.8348
0.66, 1.8541
0.67, 1.8674
0.68, 1.8868
0.6900000000000001, 1.898
0.7000000000000001, 1.917
0.71, 1.9313
0.72, 1.9523
0.73, 1.965
0.74, 1.9854
0.75, 1.9992
0.76, 2.0199
0.77, 2.0317
0.78, 2.0527
0.79, 2.0675
0.8, 2.0889
0.81, 2.1014
0.8200000000000001, 2.1217
0.8300000000000001, 2.1365
0.84, 2.1567
0.85, 2.1696
0.86, 2.191
0.87, 2.2068
0.88, 2.2284
0.89, 2.2404
0.9, 2.2615
0.91, 2.2761
0.92, 2.2974
0.93, 2.3099
0.9400000000000001, 2.3313
0.9500000000000001, 2.347
0.96, 2.3685
0.97, 2.3814
0.98, 2.4014
0.99, 2.417
1.0, 2.4386
1.01, 2.4523
1.02, 2.4735
1.03, 2.4884
1.04, 2.5104
1.05, 2.5232
1.06, 2.5443
1.07, 2.5591
1.08, 2.5804
1.09, 2.5935
1.1, 2.6147
1.11, 2.6306
1.12, 2.6523
1.1300000000000001, 2.6667
1.1400000000000001, 2.6891
1.1500000000000001, 2.7058
1.16, 2.728
1.17, 2.7409
1.18, 2.7629
1.19, 2.7787
1.2, 2.8014
1.21, 2.8151
1.22, 2.8368
1.23, 2.8527
1.24, 2.8745
1.25, 2.8886
1.26, 2.9119
1.27, 2.9291
1.28, 2.9527
1.29, 2.966
1.3, 2.9884
1.31, 3.004
